ConceptID,ConceptLabel,Dependencies
1,Fluid Power Fundamentals,
2,System Safety Principles,
3,Tool Usage Fundamentals,
4,Units Of Measurement,
5,Basic Mechanical Concepts,
6,Materials Science Fundamentals,
7,Fluid Types,1
8,States Of Matter,6
9,Properties Of Water,7|8
10,Properties Of Air,7|8
11,Properties Of Oil,7|8
12,Flow Fundamentals,4|7
13,Pressure Fundamentals,4|7
14,Energy Transfer Principles,12|13|15
15,Basic Thermodynamics,4|8
16,Heat Transfer Mechanisms,14|15
17,Fluid System Components,1|7
18,Mechanical Component Types,5
19,Electrical Component Types,34
20,Control Component Types,19
21,Fluid System Schematic Symbols,17
22,Fluid System Schematic Reading,21
23,PPE Requirements,2
24,OSHA Standards Overview,2
25,System Documentation Practices,22
26,Fluid Power Mathematics,4|12|13
27,Force Calculations,13|26
28,Energy Calculations,14|26
29,Efficiency Calculations,26|28
30,Data Collection Fundamentals,4|31
31,Basic Computer Skills,
32,Sensor Types,19|30
33,Sensor Installation,32|35
34,Basic Electronics,5
35,Wiring Fundamentals,34
36,Circuit Reading,35
37,Digital vs Analog Signals,34
38,Pump Types,17|18
39,Pump Functions,38
40,Pump Maintenance,39|115
41,Fan Types,17|18
42,Fan Functions,41
43,Fan Maintenance,42|109|115
44,Compressor Types,17|18
45,Compressor Functions,44
46,Compressor Maintenance,45|115
47,Valve Types,17|18
48,Valve Functions,47
49,Valve Maintenance,48|115
50,Filter Types,17
51,Filter Functions,50
52,Filter Maintenance,51|115
53,Actuator Types,17|18
54,Actuator Functions,53
55,Actuator Maintenance,54|115
56,Seal Types,6|17
57,Seal Functions,56
58,Seal Maintenance,57|115
59,Line Types,6|17
60,Line Functions,59
61,Line Maintenance,60|115
62,Fitting Types,6|17
63,Fitting Installation,62|3
64,Tools For Fittings,3|62
65,HVAC System Overview,14|17
66,Airflow Principles,10|12
67,Cooling Principles,15|16
68,Heating Principles,15|16
69,Duct Systems,66
70,Coil Types,16|67|68
71,Filter Service,51|52
72,HVAC Controls,65|111
73,HVAC Efficiency Metrics,29|65
74,Vacuum System Fundamentals,13|17
75,Vacuum Pump Types,38|74
76,Vacuum System Applications,74
77,Seal Testing,57|115
78,Leak Detection,13|115
